,P.Mut.KRAS,P.Mut.TP53,P.gAEP033,P.chr18.del.single.1,P.chrX.del.single.1,P.Mut.SMAD4,P.chr20.amp.single.1,P.chr17.del.single.1,P.Mut.CDKN2A,P.Mut.ARID1A,P.Mut.RNF43,P.Mut.MEN1,P.Mut.TGFBR2,P.Mut.KDM6A,P.Mut.KMT2D,P.Mut.GNAS,P.Mut.DAXX,P.Mut.KMT2C,P.Mut.ATM,P.Mut.RBM10,P.Mut.BRCA2,P.Mut.SETD2,P.Mut.ATRX,P.Mut.PIK3CA,P.Mut.RB1,P.Mut.TGFBR1,P.Mut.SMARCA4,P.Mut.SMAD3,P.Mut.MAP2K4,P.Mut.TSC2,P.Mut.BCOR,P.Mut.U2AF1,P.Mut.SF3B1,P.Mut.STK11,P.Mut.PTPRT,Seeding,Sampling
P.Mut.KRAS,-0.8587605107466049,-0.9896130754939063,-1.2631163920511015,-0.0006058914491682414,-0.0020119484252311445,1.151207324427548,-1.0312254575612798,0.0004613892608665935,0.0004979979847195053,-0.00052385931687075,-0.8979885635162502,-2.659276685129442,-0.0002154400667219733,-0.0010461239891446186,1.0144184337401842e-05,-0.0033302539407356517,-1.695101056493866,-0.0002059418382195283,0.001498529378548097,0.00016620633434702933,-0.592199590131429,-0.0025220978464671057,-0.39477632141994934,-0.0007960585408371629,-0.00039961287040729527,-0.001269639159290647,-0.0019409915370817016,-0.0011837963346468465,0.00046020269545884253,-0.004626987521704225,-0.0017853488547838773,0.0012821243401121443,0.0009395070651241203,0.00017151059618436508,-0.0006942599996891248,-1.0339637337695793,-2.376217033762649
P.Mut.TP53,2.4114656209198575,-3.725861934948334,-0.003920527011759587,-0.6745567208562737,-0.0010223041586285098,-0.00032188276033262786,-0.0017177597821687873,-0.000538845800057561,0.6350514540162931,-0.0007227172718952673,-0.3415875752459107,-0.44247759521536856,-0.0013236042928377054,-0.0002656840660179798,-0.0015044960156842236,-0.6092043876033477,0.000701026584311081,-0.0006309475708917704,-2.1904293976829448,-0.002204177942842783,-0.0010951098556682744,0.0005600781694558312,-0.0016944534393563554,-0.0020739131370095198,0.00033521869324331386,-0.0009263256510516868,-0.0011178893524640755,-0.0016745260272608626,-1.3257404168851534,0.0009785046321532243,-0.0004942385977901893,-0.0006995190440339666,-0.9101671825144089,-0.000739657091829994,0.0004786222678841361,-0.09660107427644678,-1.6863989535702286
P.gAEP033,-0.6799936181242187,0.00023338821734078465,-4.1720344531989895,1.6609529425904275,1.0833363010834702,0.0015435608708416991,2.1845836939158296,2.318257001885459,0.0010135273945208107,-0.005188292634228866,-0.02833309101184458,-0.026118492311792772,0.0005868711513022259,-0.0008109153555727443,0.0010991030049851366,-0.0007487445543352833,-0.39160187255406187,-1.1266362921652573e-05,-0.0007131582463770557,-0.0005054814927395045,0.0027780180560412703,-0.1137790736514335,0.002195248742573227,-9.167398325719053e-05,0.0012868077093349524,1.3768166187977775e-05,0.0007087287643127673,-0.0002543802353240468,0.0002733187424814916,-0.0026049193729987333,0.0004332752699648445,0.0003893787673793662,-0.0010048729415646524,0.0003498248913381727,-0.0006069354331603999,0.25373560312578475,0.0
P.chr18.del.single.1,0.021448172396373182,-0.0018513492669191087,2.1574284208958514,-3.828954897227971,0.0009146151819936341,-0.0008635863815148265,-0.32402402113263556,0.001637516912809595,0.2486067518280176,-0.0010033143972588885,0.008076903136993016,-1.8178972317203255,-0.0009860844077081458,0.0005064557732325962,0.006136928500390514,1.8532163991371865e-05,-0.4906940095835469,0.00119339528757381,0.0013329784023659306,-0.00015562005139907573,0.0016850840447210872,-0.0014991684098081993,-0.20353738917603678,-0.0008064858342022338,-0.00037252763554424797,-0.0011270259143402453,-0.002633255273475032,0.00022756450776351055,0.0017328643534008426,-0.000569526034032197,0.0003088910383183953,0.004337049525516832,0.003075709306362746,-0.00016613995186760241,-5.582240896250384e-05,-0.27938234041083854,0.0
P.chrX.del.single.1,-0.026285940811939752,-0.00043423977969845814,0.0009779019396781333,2.1360129597271347,-4.791318489588956,-0.0014126004541196186,0.0028028871829696845,-0.001072557079473434,0.0031331139158306985,0.0026061398525093517,0.002267427014800499,0.5037379033884976,2.9743135608362958e-05,0.0006498349036741212,-0.0022021723354085435,0.0008064219491937253,0.00025575512778610866,-0.0005533568878455846,-0.0003512850933492702,-0.0002373861803229104,0.0002771510959489429,0.0038154390882277163,0.001599051971478177,4.547250256841377e-05,0.0018051706349472222,-3.598261279841379e-05,0.0007321869157951716,0.0016289491953239222,-0.001878935788881276,0.0013425285276228054,-0.0006108144166660981,-0.0018377388430375011,-0.0013044585174525475,0.00016064344903161872,-0.0003055031449938665,-0.004535301519562744,0.0
P.Mut.SMAD4,-0.0007487473161090487,-1.2964512847743241,-0.1122520679752388,-0.0014053893472989888,-0.033220067471409175,-3.2160594477134286,-0.03458222495663135,-0.0010831958630385678,0.004028955628115909,0.0012134068404737698,-0.002001914753284765,-1.449408003509691,-0.0010669855050828008,-3.678893360116521e-05,0.0013503598128938605,0.0018603623719864277,-0.11050949438522088,0.0023331338459439497,-0.0021432829097014737,-0.00011302726547884572,-0.0017637188339365737,0.002670774372534003,-0.002409394987702847,0.00020873979454599177,0.001103033781159256,-0.00023640388591827404,0.0012542386823714625,-0.00018656331216089996,-0.0017849278237274857,-0.0009030209491508126,-0.00027388531012985623,-0.0003737659336924801,-0.0013069432419179107,-0.00021103527657253873,-0.00042853159629667643,-0.9235139377730648,0.0
P.chr20.amp.single.1,-0.6891411188415146,-0.25296839858078124,-0.009675842980390615,-0.0002796017217451386,0.0013036600605014022,-0.0008252120706122545,-3.37595821307747,-0.008151824461158828,5.5969279039554286e-05,-0.13602490158606362,-0.5313329654915447,1.1427434044538787,6.193638998141463e-05,-0.0010393698318130664,-0.0021575635943296874,-0.0021741846098670085,0.0035780088429257038,-0.0025546081298035476,-0.006492599436050682,-0.00027842924405040913,-0.003421800717960946,0.001720502088931037,0.001203259932370871,-0.001160155983651272,0.002062999193802831,-0.0005310810915987791,0.003494846660117052,-0.0011454752692812047,0.0020227779388988024,-0.0014308037409819481,-0.00023468372319136832,-0.00015222936223937853,-0.0006999764665153679,-0.0007416303814013911,-0.00045985484305732734,-0.45079627835240627,0.0
P.chr17.del.single.1,0.20819370503400997,0.0015781152110113008,-0.0037306580706291457,2.10232617410755,0.000190149522100059,-0.0009789897749872955,-0.006650332602542532,-4.988192429532055,-0.0028255855016583423,-0.8042609335242363,-0.3514451138375674,0.0024155120362484924,0.0010672398411260583,0.00040625020867961464,0.0010578666271739369,-0.0002117186628704254,0.0007103451418828914,-0.00043727702622421314,-0.0029342170608854905,-4.372932009398996e-05,0.00047978634523275927,-0.00412156145986851,-0.0009998200777758585,0.00032112102109184003,-0.01191537646214811,0.00045278105624582617,-0.0006151088459625523,0.0009805366188044954,0.003076233720722872,0.0024562070448778325,-0.0005541078116937852,-0.0011723247763708354,-0.0011077072642645348,0.00033037301199324723,-0.00020182691104287954,0.0025347881076224882,0.0
P.Mut.CDKN2A,0.0016820590321825423,-0.0007319079921525361,-0.04516274356219619,-0.0015591745128021653,-0.0011228511055326141,0.0028713113154303724,-0.0016238172576653045,-0.0007407283797301015,-4.467698335822672,-0.00035132309194686853,0.00035737262576063917,-0.026627360331610714,0.00041638561323944666,-0.00048720336259503534,-0.0016042437375119623,-0.0008518294774671537,-0.007159214779140634,-0.002942183319959515,-0.0016202233815800575,-0.0005434504309797424,-0.001510689425375164,-0.0026651653649403693,-0.002318690531850433,-0.0001451746261863006,-0.00198634277924696,-5.0393726524695314e-05,-0.0010143631613784897,0.0012221694047508782,-0.0006887650229642872,-0.0020322983209495778,0.0005396860804086689,-0.0005224355556787293,-0.00031193802509465833,-0.00028926073587056533,-0.0005892727833524705,-0.1845253731348751,0.0
P.Mut.ARID1A,-0.8592197966145617,-0.6705755151636781,-0.002443354862181932,-0.0009403991726202156,-0.0004826905360766369,-0.0006884978542568492,-0.5647884405869883,-0.005338348633372514,-0.001027555274879976,-4.224758186870732,-0.0012209402872755757,-0.010160496011435207,0.0005524209088695127,0.0001848717183801841,-0.00039890255193210855,-0.0004584412119831755,-0.0011161605163386378,-8.09716263722689e-05,2.575641060567397,0.0002504701952601588,0.000291064235653451,0.00132045507078562,3.867008582702852e-05,-0.00011678015221905139,-0.0002873069993265783,0.00019920158476419397,-0.00033945554412796893,0.001156339137499361,-0.0004006888365641422,-0.0013410763281301496,0.0002983066699907385,-0.00020435535833334534,-0.0004197701979334961,-0.0002322199898007772,2.5809094011057087e-05,-0.19465759499283525,0.0
P.Mut.RNF43,-0.0037956034285735007,-0.6576627869232614,-0.18589941985565767,-0.006190844838104003,-0.0022261363720529445,-0.0007203483854796065,-0.009682323157216392,-0.0012532349758204195,0.00010434914318214783,-0.001031136960968547,-5.040396190052337,-0.002750181514544441,4.945591827049834e-06,-7.810705755369184e-05,-0.00012299425995647458,0.0008810181050828969,-0.0018015409503751153,-0.0001932906363319951,-0.0005418256381891516,0.0002689351444997113,-0.00021917214466492837,-0.00011975122311351812,-0.0006874168817881525,-1.9606500962202387e-07,-9.152339196212726e-05,0.00026278315158481316,-0.0003065540221284687,-8.039347811101871e-05,-0.00033524730106168665,-0.0003501549081095912,0.000489066025342112,7.380658056888438e-05,0.001815308640478084,-1.2440007155761683e-06,3.7651731080275713e-05,-1.064301637615182,0.0
P.Mut.MEN1,-2.9826713088768315,-0.8171554914561091,-0.003143580771818696,-0.001941763841114791,-0.0007506408386417394,-0.0007189670803567805,-0.002045129537761943,-0.0008025673691354784,-0.0018296847357764283,-0.0007728507555790375,-0.002292405212645899,-3.6021728360489806,-9.174933860653175e-05,-0.00021771105200821164,0.0004616524512443574,-0.0006564471105324662,-0.000993437403749096,-0.0002065023132829421,-0.0006221308737178894,-0.00012013836438619438,-0.0012358056356821792,0.00047771442825733396,0.0006884890924068604,4.397196285065506e-05,-0.00023545296041198685,-0.0003027667031186176,-0.00021223154274115,-0.0003115370583331474,-0.00026469907875976316,-0.0002591026772629125,-0.0003097113578618661,-0.00012004468646163214,-0.00016023171752556722,0.00020368995213855797,-5.853107448935979e-05,-1.1808680007081103,0.0
P.Mut.TGFBR2,-3.879138558420163e-05,-0.0012928370470279321,0.0007041101979155718,0.00012033612870157549,0.0003175808182147917,-0.0063870223362209886,1.0493441964274924e-05,0.0007960351699730542,0.001217629782777051,0.0004124210342661978,-0.00028368935770795814,-0.00045476106931717736,-6.164319986196457,-0.0001864843581727537,9.51428643054529e-05,-0.00013891967017338656,-0.0010261890153422126,5.502849698259234e-05,-0.00029309736463562945,0.0002158710983187997,-0.0002099669795653901,0.00018596831272253998,-0.00036272738684795913,0.00046510951557706103,-0.00021458901383893111,-1.1332167863388475e-05,-8.683308599041913e-05,-0.00011146134076817107,-0.00017763152052793955,-0.000137947712299282,3.8321491840289384e-05,8.969858017843674e-06,-3.5375677153522714e-05,0.000407266084095682,-8.905341559737475e-07,-0.003031699679435733,0.0
P.Mut.KDM6A,-9.484158027281238e-05,1.5695745273386005e-05,0.00017133762461182854,0.0012558038704121967,0.0006167046586688689,-0.000402620216987946,-0.0011998236902601973,0.0006298796979372946,-0.0007067277544667909,0.00017394916657878919,-3.3696544229299685e-05,-0.0006546023819359904,-0.00015523001857110363,-6.66107586566766,-0.00010338817710194241,8.150435453582511e-06,-0.0006927679429115883,-0.00022695121496346972,-0.00010298537346936683,0.00015102235912402138,7.986250758013957e-05,-0.00021562880786394175,-0.00021211446508659812,0.00015168632518777693,-0.00018975945041874582,0.00013709298074146762,-9.830260212758702e-06,9.818162153319207e-05,0.000404414151593526,-0.00021294701164171172,-4.335458793681583e-05,-6.16197600717316e-05,-0.000100766493154873,6.85341778501129e-05,0.00038364540056189453,-0.06150519438493507,0.0
P.Mut.KMT2D,0.0007221915424107227,-0.033734459792180704,-0.0003528939320220076,0.0011917853653003636,-5.029074498864522e-05,0.0010661072032258883,-0.0012619871513213459,-0.00026964948852118776,-0.001493821390972738,-0.0005994692250496157,0.005299022506675325,3.625293529707428e-05,0.00020520559660724055,-5.061114474354199e-05,-6.201361499465809,-0.00010086379658814518,-0.0008457108051996052,0.002484263487323831,-0.0003216468402475339,-0.00011395457232278115,-0.00018637948324008662,0.0010550448435253158,-0.00035411103499636523,0.0005742703244816215,-0.00019554241885601323,0.0005633730394061828,-0.00019047659869264242,-9.576590062609462e-05,-0.00017381232017388523,-0.00025291567084326775,0.00014756330095678765,-0.00010066792848965325,0.004941293341414362,0.0004028550302547035,-0.00010664295772121912,0.006007806121212022,0.0
