,P.Mut.TP53,P.Mut.KRAS,P.chr5.amp.single.1,P.chr8.amp.single.1,P.Mut.EGFR,P.chr14.amp.single.1,P.chr18.del.single.1,P.chr1.amp.single.3,P.chr13.del.single.1,P.chr15.del.single.1,P.chr17.del.single.1,P.Mut.STK11,P.Mut.KEAP1,P.Mut.RBM10,P.Mut.SMARCA4,P.Mut.ATM,P.Mut.NF1,P.Mut.PTPRD,P.Mut.ARID1A,P.Mut.PIK3CA,P.Mut.PTPRT,P.Mut.BRAF,P.Mut.EPHA3,P.Mut.SETD2,P.Mut.MGA,P.Mut.FAT1,P.Mut.RB1,P.Mut.MET,Seeding,Sampling
P.Mut.TP53,-1.3066117849041008,-0.3763490675467799,0.0014797268755744669,-0.3524070896234039,0.3132965858607858,-0.32317091172641627,-0.3938486111381875,-0.3138907403031065,-0.11343509603692156,-0.004803750216308034,-0.012323366179278856,-0.7040301477346295,-0.013523659171853874,-0.3157049231853126,-0.001080802627181735,-0.43036367831516287,0.0021945038784035075,-0.007467233684477992,0.00046127864479566345,-0.0692029847467559,0.002364259848375915,0.006600404691853232,-0.000455806157467175,-0.011473370363840678,0.003833156695986956,0.00564312170903954,0.09987865153840676,-0.006569645847529691,-0.7163050953524696,-1.1125691623985823
P.Mut.KRAS,-1.7563824104683443,-0.7017768104123282,-1.1869526027312363,-0.9243952918060245,-3.422477920963234,-0.0019967289287637757,-0.5739736593912128,-0.4800719739477779,-0.37974469149963097,-0.550520846670964,-0.03355863586483294,-0.0013726764671942965,-0.03339416447484521,-0.0016844555358662499,-0.0014632467556338453,-0.00048102621498236157,-0.20510309022695467,-0.0009606720332462614,-0.0008924912861670248,-0.0007219186570880827,-0.004189964937620835,-0.8746233903797789,-0.002097545677332333,-0.18193435844310543,-0.000451949907206914,-0.0010735326748479226,-0.0011579164484454767,-1.1409899096550469,-1.5038486571995082,-1.0647107369924285
P.chr5.amp.single.1,0.07168437552122602,-0.454766027417207,-2.2047634356053263,0.4643955101140486,0.0028429027176112573,0.028206559119075117,-0.005336301027257219,0.0016454024076999717,-0.0007870818339736173,6.2168309688843e-05,-0.0005765731278736462,-0.21798116080524868,-0.3011766597407118,-0.0016508210843894262,-0.006418537909772297,-0.00038107453506065303,0.0012284583172630903,-0.000285826291939958,-0.0006775070601858905,-0.0013113953568583332,0.000206883980914388,0.0011375455729862663,-0.003675423781123704,-0.08858642001752068,0.0013043989957041342,0.0006498486359889329,0.2295434969734079,0.05785826840949721,-0.4600269686971447,0.0
P.chr8.amp.single.1,-0.05784964880905079,-0.0016462412969065173,0.01262747584982513,-2.31041845343773,-0.02571747942012585,0.0011355518259075124,0.011441163245085543,0.0012449814869742966,0.032226298325413,0.11637187118360405,0.0008495738350575944,0.12100327098163921,-0.0010284330684528066,-0.28249918355841425,-0.013073914616909443,-0.0015149976070557728,0.0011945769101453407,-0.002543435757883557,-0.0014993282421543043,-0.0007987734016457824,-0.11477277554969899,-0.0026761321556929597,-0.004544002272560111,-0.0014423321179585756,-0.001967454840359394,-0.0005123800328200762,-0.04155238180063947,-0.0012545348578021837,-0.3084801173554115,0.0
P.Mut.EGFR,-1.814888066196719,-3.6988984731982075,-0.8581365851202494,-0.35212884864643507,-0.6762013060032841,-0.8328853035711715,-0.3253578324941603,-0.2439089695289637,-0.0025635027675293878,-0.17168146639656323,-0.0034725786337253027,-1.7440719591169918,-0.953589946167262,0.0007436864464581845,-0.0026479813228914325,-0.0028807701157475443,-0.8206657793790941,-0.005450083175126524,-0.002774975520328779,-0.0001613115532500696,-0.01933057547794209,-1.004877982365849,-0.053193430513080675,-0.517813941797509,-0.00276871449744217,0.0006086209742620892,-0.0005959173977158554,-1.3545482002876181,-1.5946296126586599,0.0
P.chr14.amp.single.1,-0.005135410470659399,-0.20984154921477624,0.0006457109867272312,0.6668947820825342,0.5702975192021515,-2.6688958601660246,-0.07432792643821735,-0.0002275379657423609,0.0003148780031108446,-0.0005791635433270391,-0.11073751751603564,-0.2039643455397212,-0.05914985978456042,-0.004010979330543304,-0.0243622483713703,0.0011242398964190759,-0.0023183810085409045,-0.00044233015958273483,0.0007826020727914935,-0.0025561039692742742,-0.0019732328588526163,-0.0023187662348374168,-0.0014083816317285833,-0.0018621109816267791,-0.0012013292804307963,-0.004429358704176644,-0.0015577716879172333,-0.002305545761735334,-0.21261368024726568,0.0
P.chr18.del.single.1,-0.1092208369224995,-0.41076327687812647,-0.004797347653455191,-0.003137726356089031,0.003171475062389501,-0.03867655596142623,-3.039977292873835,0.00038575014566943536,2.0587614915295904,-0.24475128928836024,0.002084660622667882,-0.009448291863445146,-0.001725706314927966,-0.0006536960623918975,9.922428290236058e-05,0.0010364362070157127,-0.0028143651422264083,-0.0015123370893983506,-0.00042310428698549103,-0.00010276073632506789,-0.0018186648283657588,-0.0026113197784428154,0.0006542864400104062,0.0016823598366266,-0.036748640656470814,-0.00018556274121086619,-0.0009675668171297616,0.0006888419498137124,-0.2293770162405823,0.0
P.chr1.amp.single.3,-0.015621000038576024,-0.059925340257804105,-0.13191789610006596,0.0005933377420171952,-0.06584664094872486,0.538307724781085,-0.002344562762549976,-2.933106639202768,0.0013539081034600535,-0.001272454618281187,0.0005705068216955347,0.3436775721968289,0.6629943500679748,-0.08745675784451089,-0.001385556516015508,-0.0009924637095443307,-0.008421466599735462,0.000976014154326095,0.00013597617352369877,-3.0503706348635915e-05,0.0006933915736041437,2.7478713277363006e-05,-0.0005533698593628092,-0.002286532924587482,-0.0028096018345366456,-0.0019181955751231012,0.000945193007892643,-0.00869485887328537,-0.38324751261871876,0.0
P.chr13.del.single.1,0.0019319152625308935,-0.0521242938795822,-0.003417831518230344,0.01605023205475988,0.37129010118541816,0.04574640581270274,0.011755239363289115,0.01719446117515364,-3.2966379221454316,1.8893997403710063,0.007052659612468507,-0.001721216490081502,7.546016932090426e-05,-0.1127550414352782,-0.0005886929068326473,0.0006170158119540959,-0.0015185489014495287,-0.0023469123415942265,-0.13054282854970317,-0.003112102835406877,-0.0009137294203647161,6.86614221192634e-05,0.0007587997427646906,-0.0021359870177944836,-0.0027320932724233114,0.001408221673272476,9.472707479385475e-05,-0.0005174428563460224,-0.4185241908013424,0.0
P.chr15.del.single.1,-0.0018421744143388773,-0.15072711039251432,0.0011571685566468177,0.003404520232275863,0.0003637383235017313,0.001583089293787991,1.8491185904459877,-0.014275403364400833,-0.0001322529623432869,-3.339532519347788,0.15679277360346397,-0.02659346799338227,-0.2913344408768612,-0.0011631823401085412,-0.06926355105216837,0.0036182268211216815,-0.0013229551593746207,0.0009191238249109563,-5.117597237822927e-05,-0.0014820030730625096,0.00147965215613971,-0.0011286526716805798,0.003208983696520009,0.00032545248969396414,0.0029361660695824384,-0.00025984050602815287,0.0009150526153444748,-8.837626653565567e-05,-0.3004699408150132,0.0
